"ID	label	sector"
"508	CGNX	ElectronicEquipmentInstrumentsC"
"509	CGO	TelecomServices"
"510	CGRN	SpecialtyIndustrialMachinery"
"511	CHCI	HouseholdDurables"
"512	CHCO	Banks"
"513	CHD	HouseholdProducts"
"514	CHDN	HotelsRestaurantsLeisure"
"515	CHE	HealthCareProvidersServices"
"516	CHH	HotelsRestaurantsLeisure"
"517	CHI	ETF"
"518	CHKP	Software"
"519	CHMG	Banks"
"520	CHN	ETF"
"521	CHNR	MetalsMining"
"522	CHRW	AirFreightLogistics"
"523	CHS	SpecialtyRetail"
"524	CHSCP	FoodStaplesRetailing"
"525	CHT	DiversifiedTelecommunicationServices"
"526	CHTR	Media"
"527	CHW	ETF"
"528	CHY	ETF"
"529	CI	HealthCareProvidersServices"
"530	CIA	Insurance"
"531	CIB	Banks"
"532	CIDM	Entertainment"
"533	CIEN	CommunicationsEquipment"
"534	CIF	ETF"
"535	CIG	ElectricUtilities"
"536	CIGI	RealEstateManagementDevelopment"
"537	CII	ETF"
"538	CIK	ETF"
"539	CIM	MortgageRealEstateInvestmentTrust"
"540	CINF	Insurance"
"541	CIR	Machinery"
"542	CIVB	Banks"
"543	CIX	CommercialServicesSupplies"
"544	CIZN	Banks"
"545	CJJD	FoodStaplesRetailing"
"546	CKX	RealEstateManagementDevelopment"
"547	CL	HouseholdProducts"
"548	CLAR	LeisureProducts"
"549	CLB	EnergyEquipmentServices"
"550	CLBS	Biotechnology"
"551	CLDX	Biotechnology"
"552	CLF	MetalsMining"
"553	CLFD	CommunicationsEquipment"
"554	CLH	CommercialServicesSupplies"
"555	CLM	ETF"
"556	CLMT	OilGasConsumableFuels"
"557	CLNE	OilGasConsumableFuels"
"558	CLR	OilGasConsumableFuels"
"559	CLRB	Biotechnology"
"560	CLRO	CommunicationsEquipment"
"561	CLS	ElectronicEquipmentInstrumentsC"
"562	CLSN	Biotechnology"
"563	CLW	PaperForestProducts"
"564	CLWT	TradingCompaniesDistributors"
"565	CLX	HouseholdProducts"
"566	CM	Banks"
"567	CMA	Banks"
"568	CMC	MetalsMining"
"569	CMCL	MetalsMining"
"570	CMCO	Machinery"
"571	CMCSA	Media"
"572	CMCT	EquityRealEstateInvestmentTrusts"
"573	CME	CapitalMarkets"
"574	CMG	HotelsRestaurantsLeisure"
"575	CMI	Machinery"
"576	CMP	MetalsMining"
"577	CMPR	CommercialServicesSupplies"
"578	CMS	MultiUtilities"
"579	CMT	Chemicals"
"580	CMTL	CommunicationsEquipment"
"581	CMU	ETF"
"582	CNA	Insurance"
"583	CNC	HealthCareProvidersServices"
"584	CNET	Media"
"585	CNI	RoadRail"
"586	CNK	Entertainment"
"587	CNMD	HealthCareEquipmentSupplies"
"588	CNO	Insurance"
"589	CNOB	Banks"
"590	CNP	MultiUtilities"
"591	CNQ	OilGasConsumableFuels"
"592	CNS	CapitalMarkets"
"593	CNSL	DiversifiedTelecommunicationServices"
"594	CNTY	HotelsRestaurantsLeisure"
"595	CNX	OilGasConsumableFuels"
"596	CNXN	ElectronicEquipmentInstrumentsC"
"597	CO	HealthCareProvidersServices"
"598	COCP	Pharmaceuticals"
"599	CODA	ElectronicEquipmentInstrumentsC"
"600	CODI	DiversifiedFinancialServices"
"601	COF	ConsumerFinance"
"602	COFS	Banks"
"603	COHN	CapitalMarkets"
"604	COHR	ElectronicEquipmentInstrumentsC"
"605	COHU	SemiconductorsSemiconductorEquipment"
"606	COKE	Beverages"
"607	COLB	Banks"
"608	COLM	TextilesApparelLuxuryGoods"
"609	COMS	TelecomServices"
"610	CONN	SpecialtyRetail"
"611	COO	HealthCareEquipmentSupplies"
"612	COP	OilGasConsumableFuels"
"613	CORR	EquityRealEstateInvestmentTrusts"
"614	CORT	Pharmaceuticals"
"615	COWN	CapitalMarkets"
"616	CP	RoadRail"
"617	CPA	Airlines"
"618	CPB	FoodProducts"
"619	CPE	OilGasConsumableFuels"
"620	CPF	Banks"
"621	CPG	OilGasConsumableFuels"
"622	CPHC	HotelsRestaurantsLeisure"
"623	CPHI	Pharmaceuticals"
"624	CPIX	Pharmaceuticals"
"625	CPK	GasUtilities"
"626	CPLP	OilGasConsumableFuels"
"627	CPRT	CommercialServicesSupplies"
"628	CPRX	Biotechnology"
"629	CPSH	ElectronicEquipmentInstrumentsC"
"630	CPSI	HealthCareTechnology"
"631	CPSS	ConsumerFinance"
"632	CPT	EquityRealEstateInvestmentTrusts"
"633	CQP	OilGasConsumableFuels"
"634	CR	Machinery"
"635	CRAI	ProfessionalServices"
"636	CRDF	Biotechnology"
"637	CREG	CommercialServicesSupplies"
"638	CRESY	RealEstateManagementDevelopment"
"639	CREX	Media"
"640	CRF	ETF"
"641	CRH	ConstructionMaterials"
"642	CRI	TextilesApparelLuxuryGoods"
"643	CRIS	Biotechnology"
"644	CRK	OilGasConsumableFuels"
"645	CRL	LifeSciencesToolsServices"
"646	CRM	Software"
"647	CRMT	SpecialtyRetail"
"648	CRNT	CommunicationsEquipment"
"649	CROX	TextilesApparelLuxuryGoods"
"650	CRS	MetalsMining"
"651	CRT	OilGasConsumableFuels"
"652	CRUS	SemiconductorsSemiconductorEquipment"
"653	CRVL	HealthCareProvidersServices"
"654	CRWS	TextilesApparelLuxuryGoods"
"655	CS	CapitalMarkets"
"656	CSBR	LifeSciencesToolsServices"
"657	CSCO	CommunicationsEquipment"
"658	CSCW	Entertainment"
"659	CSGP	ProfessionalServices"
"660	CSGS	ITServices"
"661	CSII	HealthCareEquipmentSupplies"
"662	CSIQ	SemiconductorsSemiconductorEquipment"
"663	CSL	IndustrialConglomerates"
"664	CSPI	ITServices"
"665	CSQ	ETF"
"666	CSR	ElectronicEquipmentInstrumentsC"
"667	CSV	DiversifiedConsumerServices"
"668	CSWC	CapitalMarkets"
"669	CSX	RoadRail"
"670	CTAS	CommercialServicesSupplies"
"671	CTBI	Banks"
"672	CTEK	EnergyEquipmentServices"
"673	CTG	ITServices"
"674	CTHR	TextilesApparelLuxuryGoods"
"675	CTIB	HouseholdDurables"
"676	CTIC	Biotechnology"
"677	CTLP	InformationTechnologyServices"
"678	CTO	RealEstateManagementDevelopment"
"679	CTRA	OilGasConsumableFuels"
"680	CTRN	SpecialtyRetail"
"681	CTS	ElectronicEquipmentInstrumentsC"
"682	CTSH	ITServices"
"683	CTSO	HealthCareEquipmentSupplies"
"684	CTXS	InformationTechnologyServices"
"685	CUBA	ETF"
"686	CUBE	EquityRealEstateInvestmentTrusts"
"687	CUEN	DiversifiedTelecommunicationServices"
"688	CUK	HotelsRestaurantsLeisure"
"689	CULL	Banks"
"690	CULP	TextilesApparelLuxuryGoods"
"691	CUTR	HealthCareEquipmentSupplies"
"692	CUZ	EquityRealEstateInvestmentTrusts"
"693	CVBF	Banks"
"694	CVCO	HouseholdDurables"
"695	CVCY	Banks"
"696	CVE	OilGasConsumableFuels"
"697	CVGI	Machinery"
"698	CVGW	FoodProducts"
"699	CVI	OilGasConsumableFuels"
"700	CVLG	RoadRail"
"701	CVLT	Software"
"702	CVLY	Banks"
"703	CVM	Biotechnology"
"704	CVR	Machinery"
"705	CVS	HealthCareProvidersServices"
"706	CVU	AerospaceDefense"
"707	CVV	SemiconductorsSemiconductorEquipment"
"708	CVX	OilGasConsumableFuels"
"709	CW	AerospaceDefense"
"710	CWBC	Banks"
"711	CWCO	WaterUtilities"
"712	CWST	CommercialServicesSupplies"
"713	CWT	WaterUtilities"
"714	CX	ConstructionMaterials"
"715	CXE	ETF"
"716	CXH	ETF"
"717	CXW	EquityRealEstateInvestmentTrusts"
"718	CYAN	PersonalProducts"
"719	CYBE	SemiconductorsSemiconductorEquipment"
"720	CYCC	Biotechnology"
"721	CYCCP	Pharmaceuticals"
"722	CYD	Machinery"
"723	CYH	HealthCareProvidersServices"
"724	CYRN	Software"
"725	CYRX	HealthCareEquipmentSupplies"
"726	CYTH	DrugManufacturersSpecialtyGeneric"
"727	CYTK	Biotechnology"
"728	CZNC	Banks"
"729	CZWI	Banks"
"730	D	MultiUtilities"
"731	DAC	Marine"
"732	DAIO	ElectronicEquipmentInstrumentsC"
"733	DAKT	ElectronicEquipmentInstrumentsC"
"734	DAL	Airlines"
"735	DAN	AutoComponents"
"736	DAR	FoodProducts"
"737	DB	CapitalMarkets"
"738	DBD	TechnologyHardwareStoragePeriph"
"739	DBI	SpecialtyRetail"
"740	DCI	Machinery"
"741	DCO	AerospaceDefense"
"742	DCOM	ThriftsMortgageFinance"
"743	DCP	OilGasConsumableFuels"
"744	DDF	ETF"
"745	DDS	MultilineRetail"
"746	DDT	ETF"
"747	DE	Machinery"
"748	DECK	TextilesApparelLuxuryGoods"
"749	DEI	EquityRealEstateInvestmentTrusts"
"750	DENN	HotelsRestaurantsLeisure"
"751	DEO	Beverages"
"752	DEX	ETF"
"753	DFFN	Biotechnology"
"754	DFS	ConsumerFinance"
"755	DG	MultilineRetail"
"756	DGICA	Insurance"
"757	DGICB	Insurance"
"758	DGII	CommunicationsEquipment"
"759	DGLY	ElectronicEquipmentInstrumentsC"
"760	DGX	HealthCareProvidersServices"
"761	DHC	EquityRealEstateInvestmentTrusts"
"762	DHF	ETF"
"763	DHI	HouseholdDurables"
"764	DHIL	CapitalMarkets"
"765	DHR	HealthCareEquipmentSupplies"
"766	DHT	OilGasConsumableFuels"
"767	DHX	InteractiveMediaServices"
"768	DHY	ETF"
"769	DIN	HotelsRestaurantsLeisure"
"770	DIOD	SemiconductorsSemiconductorEquipment"
"771	DIS	Entertainment"
"772	DISH	Media"
"773	DIT	Distributors"
"774	DJCO	Media"
"775	DK	OilGasConsumableFuels"
"776	DKS	SpecialtyRetail"
"777	DLA	TextilesApparelLuxuryGoods"
"778	DLB	ElectronicEquipmentInstrumentsC"
"779	DLHC	ProfessionalServices"
"780	DLPN	Entertainment"
"781	DLR	EquityRealEstateInvestmentTrusts"
"782	DLTR	MultilineRetail"
"783	DLX	CommercialServicesSupplies"
"784	DMF	ETF"
"785	DMLP	OilGasConsumableFuels"
"786	DMRC	Software"
"787	DNN	OilGasConsumableFuels"
"788	DNP	ETF"
